ID	Taxon	Rank
1522962	Tilia_sp._'spaethii'	species
746323	Pimelea_sp._'Maunga'	species
746331	Pimelea_sp._'Pipinui'	species
746358	Pimelea_sp._'Waitaha'	species
746322	Pimelea_sp._'Manaia'	species
746357	Pimelea_sp._'Waipara'	species
746351	Pimelea_sp._'Tongariro'	species
746349	Pimelea_sp._'Tapo'	species
746354	Pimelea_sp._'Turakina'	species
746276	Pimelea_sp._'Ahipara'	species
572536	Cardamine_sp._'Komolac'	species
2033715	Quercus_sp._'Langtry'	species
425825	Castanopsis_sp._'kuchugouzhui'	species
228161	Gymnostoma_sp._'mesostrobilum'	species
1642648	Bergia_sp._'pentanthesa'	species
993090	Populus_sp._cv._'Okanese'	species
993089	Populus_sp._cv._'Walker'	species
1341361	Passiflora_sp._'intricata'	species
1341359	Passiflora_sp._'ilamo'	species
1341372	Passiflora_sp._'occidentalis'	species
1822407	Passiflora_sp._'azulitensis'	species
369427	Viola_sp._'D'Udine'	species
317423	Rinorea_sp._'dimakoensis'	species
1348122	Gynostemma_'burmanicum'	species
2605955	Begonia_sp._'linguiensis'	species
2099845	Begonia_sp._1_'Solomons'	species
1488555	Begonia_sp._'intermedia'	species
2099844	Begonia_sp._1_'Borneo'	species
1400641	Malus_pumila_var._'gallica'	varietas
52542	Amelanchier_sp._'erecta'	species
52543	Amelanchier_sp._'serotina'	species
2045006	Amelanchier_sp._'rubra'	species
52544	Amelanchier_sp._'erecta'_x_Amelanchier_laevis	species
52525	Amelanchier_sp._'dentata'	species
52541	Amelanchier_bartramiana_x_Amelanchier_sp._'dentata'	species
2594712	Potentilla_freyniana_var._'chejuensis'	varietas
324783	Pomaderreae_sp._'Jabiru'	species
324784	Pomaderreae_sp._'Yalgoo'	species
1231252	Ficus_sp._'Dejentle'	species
707295	Stackhousia_sp._'puberulent'	species
526435	Oxalis_sp._'canaliculata'	species
1398996	Oxalis_sp._'magnifolia'	species
1277296	Vicia_sp._'telaponensis'	species
164719	Gastrolobium_sp._'stenocarpum'	species
209820	Aotus_sp._'Esperance'	species
882457	Cratylia_sp._'Naranjal'	species
198862	Indigofera_sp._'braamtonyi'	species
198876	Indigofera_sp._'gleichenioides'	species
2582990	Arachis_sp._'chacoense'_x_Arachis_diogoi	species
1964153	Inga_sp._'seiscuadras'	species
199154	Albizia_sp._'bermudiana'	species
1620957	Zygia_sp._'mediana'	species
147446	Pachysandra_sp._'americana'	species
2094243	Lilium_sp._'Dzuko'	species
1537672	Asparagus_sp._'robustus'	species
1366408	Beaucarnea_sp._'congesta'	species
166815	Allium_sp._'minorensis'	species
1969852	Clivia_sp._'Umtentu'	species
512810	Prescottia_sp._3_'Ecuagenera'	species
428338	Coccineorchis_sp._'Ecuagenera'	species
428360	Pelexia_sp._1_'Ecuagenera'	species
230618	Habenaria_sp._'marmorata'	species
1637793	Oeceoclades_sp._'Ankarafantsika'	species
204236	x_Mokara_cv._'Yellow'	species
2016623	Lepanthes_sp._'velosa'	species
2021816	Anathallis_sp._'depauperata'	species
207360	Epipactis_sp._'Tyne'	species
207359	Epipactis_sp._'Lindisfarne'	species
1095027	Cypripedium_flavum_var._'semialbum'	varietas
1095028	Cypripedium_flavum_var._'luteum'	varietas
1095029	Cypripedium_sp._'rubitinctum'	species
230614	Cypripedium_sp._'adamianum'	species
1095030	Cypripedium_tibeticum_var._'corrugatum'	varietas
1284705	Aechmea_sp._'Maya'	species
2152734	Themeda_sp._'intermedia-gigantea'	species
2152735	Themeda_sp._'triandra-laxa'	species
667100	Sorghum_sp._'Silk'	species
880560	Gigantochloa_sp._'daluoensis'	species
2518357	Bambusa_multiplex_var._'fernleaf'	varietas
441206	Lolium_sp._'Italy'	species
679968	Eleocharis_sp._'Guyana'	species
863355	Eleocharis_sp._'Argentina'	species
863356	Eleocharis_sp._'Brazil'	species
2499701	Bulbostylis_sp._'juquinha'	species
796954	Kaempferia_sp._'Grande'	species
864325	Kaempferia_sp._'pardi'	species
1323434	Kaempferia_sp._'indica'	species
864324	Kaempferia_sp._'minuta'	species
864318	Kaempferia_sp._'bambusetorum'	species
136210	Curcuma_sp._'chuanezhu'	species
136211	Curcuma_sp._'chuanhuangjiang'	species
188523	Etlingera_sp._nov._'albiflora'	species
2059925	Goeppertia_sp._'pucl'	species
2059926	Goeppertia_sp._'rusc'	species
2059924	Goeppertia_sp._'oliv'	species
2059922	Goeppertia_sp._'linh'	species
2059919	Goeppertia_sp._'apet'	species
2059921	Goeppertia_sp._'deni'	species
2059920	Goeppertia_sp._'cr'	species
2059918	Goeppertia_sp._'ampl'	species
630211	Musa_sp._'Vietnam'	species
191989	Orchidantha_sp._nov._'railway'	species
191990	Orchidantha_sp._nov._'serinsim'	species
1544803	Pandanus_sp._TJG-2014_'Makatea'	species
85840	Amorphophallus_sp._'kiusiuensis'	species
1720479	Amorphophallus_sp._'Makiling'	species
