Taxon,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date
Ptilotus lophotrichus,Ptilotus,,lophotrichus,NA,NA,,,kew-2408061,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,lophotrichus,,,Benl,kew-2408061,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus disparilis,Ptilotus,,disparilis,NA,NA,,,kew-2608414,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,disparilis,,,Lally,kew-2608414,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus comatus,Ptilotus,,comatus,NA,NA,,,kew-2408315,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,comatus,,,Benl,kew-2408315,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus benlii,Ptilotus,,benlii,NA,NA,,,,FALSE,1.1,,,Ptilotus,,benlii,NA,,,,,FALSE,FALSE,FALSE,2020-01-06
Ptilotus barkeri,Ptilotus,,barkeri,NA,NA,,,kew-2408383,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,barkeri,,,Benl,kew-2408383,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus nobilis var. angustifolius,Ptilotus,,nobilis,NA,var.,angustifolius,,kew-2408050,FALSE,1.1,Unresolved,Amaranthaceae,Ptilotus,,nobilis,,,F.Muell.,kew-2408050,Unresolved,FALSE,FALSE,TRUE,2020-01-06
Ptilotus wilsonii,Ptilotus,,wilsonii,NA,NA,,,kew-2408008,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,wilsonii,,,Benl,kew-2408008,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus villosiflorus,Ptilotus,,villosiflorus,NA,NA,,,kew-2408009,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,villosiflorus,,,F.Muell.,kew-2408009,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus petiolatus,Ptilotus,,petiolatus,NA,NA,,,kew-2408091,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,petiolatus,,,Farmar,kew-2408091,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus actinocladus,Ptilotus,,actinocladus,NA,NA,,,,FALSE,1.1,,,Ptilotus,,actinocladus,NA,,,,,FALSE,FALSE,FALSE,2020-01-06
Ptilotus trichocephalus,Ptilotus,,trichocephalus,NA,NA,,,kew-2408011,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,trichocephalus,,,Benl,kew-2408011,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus symonii,Ptilotus,,symonii,NA,NA,,,kew-2408013,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,symonii,,,Benl,kew-2408013,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus subspinescens,Ptilotus,,subspinescens,NA,NA,,,kew-2608417,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,subspinescens,,,R.W.Davis,kew-2608417,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus stirlingii subsp. stirlingii,Ptilotus,,stirlingii,NA,subsp.,stirlingii,,kew-2415690,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,stirlingii,,,(Lindl.) F.Muell.,kew-2415690,Unresolved,FALSE,FALSE,TRUE,2020-01-06
Ptilotus stipitatus,Ptilotus,,stipitatus,NA,NA,,,kew-2408016,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,stipitatus,,,Benl,kew-2408016,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus royceanus,Ptilotus,,royceanus,NA,NA,,,kew-2405682,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,royceanus,,,Benl,kew-2405682,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus rigidus,Ptilotus,,rigidus,NA,NA,,,kew-2897183,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,rigidus,,,Lally,kew-2897183,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus remotiflorus,Ptilotus,,remotiflorus,NA,NA,,,kew-2408094,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,remotiflorus,,,Benl,kew-2408094,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus propinquus,Ptilotus,,propinquus,NA,NA,,,kew-2608416,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,propinquus,,,Lally,kew-2608416,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus procumbens,Ptilotus,,procumbens,NA,NA,,,kew-2408086,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,procumbens,,,Benl,kew-2408086,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus polakii subsp. polakii,Ptilotus,,polakii,NA,subsp.,polakii,,kew-2408090,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,polakii,,,F.Muell.,kew-2408090,Unresolved,FALSE,FALSE,TRUE,2020-01-06
Ptilotus polakii subsp. juxtus,Ptilotus,,polakii,NA,subsp.,juxtus,,kew-2408090,FALSE,1.1,Unresolved,Amaranthaceae,Ptilotus,,polakii,,,F.Muell.,kew-2408090,Unresolved,FALSE,FALSE,TRUE,2020-01-06
Ptilotus pedleyanus,Ptilotus,,pedleyanus,NA,NA,,,kew-2408093,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,pedleyanus,,,Benl & H.Eichler,kew-2408093,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus mollis,Ptilotus,,mollis,NA,NA,,,kew-2408052,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,mollis,,,Benl,kew-2408052,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus mitchellii,Ptilotus,,mitchellii,NA,NA,,,kew-2408053,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,mitchellii,,,Benl,kew-2408053,Unresolved,FALSE,FALSE,FALSE,2020-01-06
