Taxon,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date
Ephedra intermedia var. tibetica,Ephedra,,intermedia,NA,var.,tibetica,,kew-332956,TRUE,1.1,Synonym,Ephedraceae,Ephedra,,intermedia,,,Schrenk & C.A.Mey.,kew-332952,Accepted,FALSE,FALSE,FALSE,2020-01-06
Ephedra equisetifolia,Ephedra,,equisetifolia,NA,NA,,,,FALSE,1.1,,,Ephedra,,equisetifolia,NA,,,,,FALSE,FALSE,FALSE,2020-01-06
Ephedra saxatilis var. mairei,Ephedra,,saxatilis,NA,var.,mairei,,kew-333035,TRUE,1.1,Synonym,Ephedraceae,Ephedra,,likiangensis,f.,mairei,(Florin) C.Y.Cheng,kew-332964,Accepted,FALSE,FALSE,FALSE,2020-01-06
Ephedra saxatilis var. sikkimensis,Ephedra,,saxatilis,NA,var.,sikkimensis,,kew-333036,TRUE,1.1,Synonym,Ephedraceae,Ephedra,,gerardiana,var.,sikkimensis,Stapf,kew-332940,Accepted,FALSE,FALSE,FALSE,2020-01-06
Ephedra major subsp. major,Ephedra,,major,NA,subsp.,major,,kew-340451,TRUE,1.1,Synonym,Ephedraceae,Ephedra,,major,,,Host,kew-332970,Accepted,FALSE,FALSE,FALSE,2020-01-06
Ephedra sinica var. pumila,Ephedra,,sinica,NA,var.,pumila,,kew-333041,FALSE,1.1,Accepted,Ephedraceae,Ephedra,,sinica,,,Stapf,kew-333041,Accepted,FALSE,FALSE,TRUE,2020-01-06
Ephedra altissima var. algerica,Ephedra,,altissima,NA,var.,algerica,,kew-332855,FALSE,1.1,Accepted,Ephedraceae,Ephedra,,altissima,,,Desf.,kew-332855,Accepted,FALSE,FALSE,TRUE,2020-01-06
Ephedra tweediana,Ephedra,,tweediana,NA,NA,,,kew-333058,TRUE,1.1,Accepted,Ephedraceae,Ephedra,,tweedieana,,,C.A.Mey.,kew-333058,Accepted,TRUE,FALSE,FALSE,2020-01-06
Cycas longipetiolula,Cycas,,longipetiolula,NA,NA,,,tro-50100073,TRUE,1.1,Synonym,Cycadaceae,Cycas,,multipinnata,,,C.J.Chen & S.Y.Yang,kew-2749609,Accepted,FALSE,FALSE,FALSE,2020-01-06
Cycas lanepoolei,Cycas,,lanepoolei,NA,NA,,,kew-2749579,TRUE,1.1,Accepted,Cycadaceae,Cycas,,lanepoolei,,,C.A.Gardner,kew-2749579,Accepted,FALSE,FALSE,FALSE,2020-01-06
Cycas x multifrondis,Cycas,×,multifrondis,NA,NA,,,kew-2749607,TRUE,1.1,Accepted,Cycadaceae,Cycas,×,multifrondis,,,D.Y.Wang,kew-2749607,Accepted,FALSE,FALSE,FALSE,2020-01-06
Cycas petraea,Cycas,,petraea,NA,NA,,,kew-2749624,TRUE,1.1,Accepted,Cycadaceae,Cycas,,petrae,,,A.Lindstr. & K.D.Hill,kew-2749624,Accepted,TRUE,FALSE,FALSE,2020-01-06
Cycas clivicola subsp. clivicola,Cycas,,clivicola,NA,subsp.,clivicola,,kew-2749537,TRUE,1.1,Accepted,Cycadaceae,Cycas,,clivicola,,,K.D.Hill,kew-2749537,Accepted,FALSE,FALSE,TRUE,2020-01-06
Ceratozamia tenuis,Ceratozamia,,tenuis,NA,NA,,,,FALSE,1.1,,,Ceratozamia,,tenuis,NA,,,,,FALSE,FALSE,FALSE,2020-01-06
Ceratozamia mexicana var. mexicana,Ceratozamia,,mexicana,NA,var.,mexicana,,tro-50130617,TRUE,1.1,Synonym,Zamiaceae,Ceratozamia,,mexicana,,,Brongn.,kew-2711335,Accepted,FALSE,FALSE,FALSE,2020-01-06
Zamia katzeriana,Zamia,,katzeriana,NA,NA,,,kew-2472560,TRUE,1.1,Synonym,Zamiaceae,Zamia,,verschaffeltii,,,Miq.,kew-2469605,Accepted,FALSE,FALSE,FALSE,2020-01-06
Pseudolarix chienii,Pseudolarix,,chienii,NA,NA,,,,FALSE,1.1,,,Pseudolarix,,chienii,NA,,,,,FALSE,FALSE,FALSE,2020-01-06
Pinus armandii,Pinus,,armandii,NA,NA,,,kew-2563175,TRUE,1.1,Accepted,Pinaceae,Pinus,,armandii,,,Franch.,kew-2563175,Accepted,FALSE,FALSE,FALSE,2020-01-06
Pinus armandii var. mastersiana,Pinus,,armandii,NA,var.,mastersiana,,kew-2871976,TRUE,1.1,Accepted,Pinaceae,Pinus,,armandii,var.,mastersiana,(Hayata) Hayata,kew-2871976,Accepted,FALSE,FALSE,FALSE,2020-01-06
Pinus armandii var. armandii,Pinus,,armandii,NA,var.,armandii,,tro-24901308,TRUE,1.1,Synonym,Pinaceae,Pinus,,armandii,,,Franch.,kew-2563175,Accepted,FALSE,FALSE,FALSE,2020-01-06
Pinus pentaphylla,Pinus,,pentaphylla,NA,NA,,,kew-2562528,TRUE,1.1,Synonym,Pinaceae,Pinus,,parviflora,var.,pentaphylla,(Mayr) A.Henry,kew-2872391,Accepted,FALSE,FALSE,FALSE,2020-01-06
Pinus kwangtungensis var. kwangtungensis,Pinus,,kwangtungensis,NA,var.,kwangtungensis,,kew-2561670,TRUE,1.1,Synonym,Pinaceae,Pinus,,fenzeliana,,,Hand.-Mazz.,kew-2562064,Accepted,FALSE,FALSE,TRUE,2020-01-06
Pinus ayacahuite var. ayacahuite,Pinus,,ayacahuite,NA,var.,ayacahuite,,tro-50155841,TRUE,1.1,Synonym,Pinaceae,Pinus,,ayacahuite,,,Ehrenb. ex Schltdl.,kew-2563157,Accepted,FALSE,FALSE,FALSE,2020-01-06
Pinus edulis var. fallax,Pinus,,edulis,NA,var.,fallax,,kew-2555451,TRUE,1.1,Synonym,Pinaceae,Pinus,,monophylla,,,Torr. & Frém.,kew-2562417,Accepted,FALSE,FALSE,FALSE,2020-01-06
Pinus x rigitaeda,Pinus,×,rigitaeda,NA,NA,,,kew-2575982,TRUE,1.1,Unresolved,Pinaceae,Pinus,×,rigitaeda,,,S.K.Hyun & Ahn,kew-2575982,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Pinus maestrensis,Pinus,,maestrensis,NA,NA,,,kew-2561771,TRUE,1.1,Synonym,Pinaceae,Pinus,,cubensis,,,Griseb.,kew-2561885,Accepted,TRUE,FALSE,FALSE,2020-01-06
Pinus brutia subsp. brutia,Pinus,,brutia,NA,subsp.,brutia,,kew-2563202,TRUE,1.1,Accepted,Pinaceae,Pinus,,brutia,,,Ten.,kew-2563202,Accepted,FALSE,FALSE,TRUE,2020-01-06
Pinus nigra var. nigra,Pinus,,nigra,NA,var.,nigra,,tro-24900841,TRUE,1.1,Synonym,Pinaceae,Pinus,,nigra,,,J.F.Arnold,kew-2562349,Accepted,FALSE,FALSE,FALSE,2020-01-06
Pinus mugo subsp. mugo,Pinus,,mugo,NA,subsp.,mugo,,kew-2562441,TRUE,1.1,Accepted,Pinaceae,Pinus,,mugo,,,Turra,kew-2562441,Accepted,TRUE,FALSE,TRUE,2020-01-06
Pinus mugo subsp. uncinata,Pinus,,mugo,NA,subsp.,uncinata,,kew-2872234,TRUE,1.1,Synonym,Pinaceae,Pinus,,uncinata,,,Ramond ex DC.,kew-2562206,Accepted,FALSE,FALSE,FALSE,2020-01-06
Pinus sylvestris var. mongolica,Pinus,,sylvestris,NA,var.,mongolica,,kew-2872522,TRUE,1.1,Accepted,Pinaceae,Pinus,,sylvestris,var.,mongholica,Litv.,kew-2872522,Accepted,TRUE,FALSE,FALSE,2020-01-06
Pinus contorta subsp. contorta,Pinus,,contorta,NA,subsp.,contorta,,tro-24900627,TRUE,1.1,Synonym,Pinaceae,Pinus,,contorta,,,Douglas ex Loudon,kew-2561967,Accepted,FALSE,FALSE,FALSE,2020-01-06
Pinus contorta var. bolanderi,Pinus,,contorta,NA,var.,bolanderi,,kew-2575751,TRUE,1.1,Synonym,Pinaceae,Pinus,,contorta,,,Douglas ex Loudon,kew-2561967,Accepted,FALSE,FALSE,FALSE,2020-01-06
Picea x notha,Picea,×,notha,NA,NA,,,kew-2563586,TRUE,1.1,Accepted,Pinaceae,Picea,×,notha,,,Rehder,kew-2563586,Accepted,FALSE,FALSE,FALSE,2020-01-06
Picea x lutzii,Picea,×,lutzii,NA,NA,,,kew-2563358,TRUE,1.1,Accepted,Pinaceae,Picea,×,lutzii,,,Little,kew-2563358,Accepted,FALSE,FALSE,FALSE,2020-01-06
Picea meyeri var. meyeri,Picea,,meyeri,NA,var.,meyeri,,kew-2563389,TRUE,1.1,Accepted,Pinaceae,Picea,,meyeri,,,Rehder & E.H.Wilson,kew-2563389,Accepted,FALSE,FALSE,TRUE,2020-01-06
Picea shirasawae,Picea,,shirasawae,NA,NA,,,tro-50231177,TRUE,1.1,Unresolved,Pinaceae,Picea,,shirasawae,,,Hayashi,tro-50231177,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Picea jezoensis var. jezoensis,Picea,,jezoensis,NA,var.,jezoensis,,tro-24900701,TRUE,1.1,Synonym,Pinaceae,Picea,,jezoensis,,,(Siebold & Zucc.) Carrière,kew-2563370,Accepted,FALSE,FALSE,FALSE,2020-01-06
Picea jezoensis var. hondoensis,Picea,,jezoensis,NA,var.,hondoensis,,kew-2871819,TRUE,1.1,Synonym,Pinaceae,Picea,,jezoensis,subsp.,hondoensis,(Mayr) P.A.Schmidt,kew-2563372,Accepted,FALSE,FALSE,FALSE,2020-01-06
Larix x maritima,Larix,×,maritima,NA,NA,,,tro-24900736,TRUE,1.1,Accepted,Pinaceae,Larix,×,maritima,,,Sukaczev,tro-24900736,Accepted,FALSE,FALSE,FALSE,2020-01-06
Larix czekanowskii,Larix,,czekanowskii,NA,NA,,,kew-2493945,TRUE,1.1,Accepted,Pinaceae,Larix,,czekanowskii,,,Szafer,kew-2493945,Accepted,FALSE,FALSE,FALSE,2020-01-06
Larix sukaczewii,Larix,,sukaczewii,NA,NA,,,kew-2871691,TRUE,1.1,Synonym,Pinaceae,Larix,,sibirica,,,Ledeb.,kew-2493981,Accepted,FALSE,FALSE,FALSE,2020-01-06
Larix potaninii var. australis,Larix,,potaninii,NA,var.,australis,,kew-2871687,TRUE,1.1,Synonym,Pinaceae,Larix,,potaninii,,,Batalin,kew-2493815,Accepted,FALSE,FALSE,FALSE,2020-01-06
Larix sibirica subsp. altaica,Larix,,sibirica,NA,subsp.,altaica,,kew-2493981,FALSE,1.1,Accepted,Pinaceae,Larix,,sibirica,,,Ledeb.,kew-2493981,Accepted,FALSE,FALSE,TRUE,2020-01-06
Larix x marschlinsii,Larix,×,marschlinsii,NA,NA,,,kew-2871695,TRUE,1.1,Unresolved,Pinaceae,Larix,×,marschlinsii,,,Coaz,kew-2871695,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Keteleeria davidiana var. chienpeii,Keteleeria,,davidiana,NA,var.,chienpeii,,kew-2334823,TRUE,1.1,Synonym,Pinaceae,Keteleeria,,davidiana,,,(C.E.Bertrand) Beissn.,kew-2334782,Accepted,TRUE,FALSE,FALSE,2020-01-06
Abies borisii-regis,Abies,,borisii-regis,NA,NA,,,kew-2609736,TRUE,1.1,Accepted,Pinaceae,Abies,×,borisii-regis,,,Mattf.,kew-2609736,Accepted,FALSE,FALSE,FALSE,2020-01-06
Abies mariesii var. kawakami,Abies,,mariesii,NA,var.,kawakami,,kew-2609949,TRUE,1.1,Synonym,Pinaceae,Abies,,kawakamii,,,(Hayata) Ito,kew-2609915,Accepted,TRUE,FALSE,FALSE,2020-01-06
Abies koreana f. nigrocarpa,Abies,,koreana,NA,f.,nigrocarpa,,kew-2609918,TRUE,1.1,Synonym,Pinaceae,Abies,,koreana,,,E.H.Wilson,kew-2609917,Accepted,FALSE,FALSE,FALSE,2020-01-06
Abies koreana f. rubrocarpa,Abies,,koreana,NA,f.,rubrocarpa,,kew-2609917,FALSE,1.1,Accepted,Pinaceae,Abies,,koreana,,,E.H.Wilson,kew-2609917,Accepted,FALSE,FALSE,TRUE,2020-01-06
Abies koreana f. chlorocarpa,Abies,,koreana,NA,f.,chlorocarpa,,kew-2609917,FALSE,1.1,Accepted,Pinaceae,Abies,,koreana,,,E.H.Wilson,kew-2609917,Accepted,FALSE,FALSE,TRUE,2020-01-06
Abies x phanerolepis,Abies,×,phanerolepis,NA,NA,,,tro-50229968,TRUE,1.1,Synonym,Pinaceae,Abies,,balsamea,var.,phanerolepis,Fernald,kew-2609725,Accepted,FALSE,FALSE,FALSE,2020-01-06
Abies pinsapo var. pinsapo,Abies,,pinsapo,NA,var.,pinsapo,,kew-465154,TRUE,1.1,Synonym,Pinaceae,Abies,,pinsapo,,,Boiss.,kew-2610038,Accepted,FALSE,FALSE,FALSE,2020-01-06
Abies x shastensis,Abies,×,shastensis,NA,NA,,,tro-100280139,TRUE,1.1,Unresolved,Pinaceae,Abies,×,shastensis,,,Lemmon,tro-100280139,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Cephalotaxus harringtonia var. drupacea,Cephalotaxus,,harringtonia,NA,var.,drupacea,,,FALSE,1.1,,,Cephalotaxus,,harringtonia,var.,drupacea,,,,FALSE,FALSE,FALSE,2020-01-06
Cephalotaxus sinensis var. sinensis,Cephalotaxus,,sinensis,NA,var.,sinensis,,tro-6900035,TRUE,1.1,Synonym,Taxaceae,Cephalotaxus,,sinensis,,,(Rehder & E.H.Wilson) H.L.Li,kew-2709771,Accepted,FALSE,FALSE,FALSE,2020-01-06
Taxus x hunnewelliana,Taxus,×,hunnewelliana,NA,NA,,,kew-2521232,TRUE,1.1,Unresolved,Taxaceae,Taxus,×,hunnewelliana,,,Rehder,kew-2521232,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Taxus x media,Taxus,×,media,NA,NA,,,kew-2521267,TRUE,1.1,Unresolved,Taxaceae,Taxus,×,media,,,Rehder,kew-2521267,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Taxus wallichiana var. chinensis,Taxus,,wallichiana,NA,var.,chinensis,,kew-2872829,TRUE,1.1,Accepted,Taxaceae,Taxus,,wallichiana,var.,chinensis,(Pilg.) Florin,kew-2872829,Accepted,FALSE,FALSE,FALSE,2020-01-06
Hesperocyparis guadalupensis var. guadalupensis,Hesperocyparis,,guadalupensis,NA,var.,guadalupensis,,kew-457908,TRUE,1.1,Synonym,Cupressaceae,Cupressus,,guadalupensis,,,S.Watson,kew-2748676,Accepted,FALSE,FALSE,TRUE,2020-01-06
Hesperocyparis lusitanica var. lusitanica,Hesperocyparis,,lusitanica,NA,var.,lusitanica,,kew-457911,TRUE,1.1,Synonym,Cupressaceae,Cupressus,,lusitanica,,,Mill.,kew-2748717,Accepted,FALSE,FALSE,TRUE,2020-01-06
Hesperocyparis goveniana var. goveniana,Hesperocyparis,,goveniana,NA,var.,goveniana,,kew-457907,TRUE,1.1,Synonym,Cupressaceae,Cupressus,,goveniana,,,Gordon,kew-2748669,Accepted,FALSE,FALSE,TRUE,2020-01-06
Hesperocyparis arizonica var. arizonica,Hesperocyparis,,arizonica,NA,var.,arizonica,,kew-457902,TRUE,1.1,Synonym,Cupressaceae,Cupressus,,arizonica,,,Greene,kew-2748585,Accepted,FALSE,FALSE,TRUE,2020-01-06
Cunninghamia lanceolata var. konishii,Cunninghamia,,lanceolata,NA,var.,konishii,,kew-455900,TRUE,1.1,Synonym,Cupressaceae,Cunninghamia,,konishii,,,Hayata,kew-2747421,Accepted,FALSE,FALSE,FALSE,2020-01-06
Athrotaxis laxifolia,Athrotaxis,,laxifolia,NA,NA,,,kew-2664832,TRUE,1.1,Accepted,Cupressaceae,Athrotaxis,×,laxifolia,,,Hook.,kew-2664832,Accepted,FALSE,FALSE,FALSE,2020-01-06
Chamaecyparis thyoides subsp. thyoides,Chamaecyparis,,thyoides,NA,subsp.,thyoides,,kew-465674,TRUE,1.1,Synonym,Cupressaceae,Chamaecyparis,,thyoides,,,"(L.) Britton, Sterns & Poggenb.",kew-2715316,Accepted,FALSE,FALSE,FALSE,2020-01-06
Callitris oblonga subsp. oblonga,Callitris,,oblonga,NA,subsp.,oblonga,,kew-2692896,TRUE,1.1,Accepted,Cupressaceae,Callitris,,oblonga,,,Rich. & A.Rich.,kew-2692896,Accepted,FALSE,FALSE,TRUE,2020-01-06
Callitris gracilis subsp. gracilis,Callitris,,gracilis,NA,subsp.,gracilis,,kew-2692882,TRUE,1.1,Synonym,Cupressaceae,Callitris,,preissii,,,Miq.,kew-2692900,Accepted,FALSE,FALSE,TRUE,2020-01-06
Juniperus recurva var. coxii,Juniperus,,recurva,NA,var.,coxii,,kew-2871058,TRUE,1.1,Synonym,Cupressaceae,Juniperus,,coxii,,,A.B.Jacks.,kew-2332539,Accepted,FALSE,FALSE,FALSE,2020-01-06
Sabina procumbens,Sabina,,procumbens,NA,NA,,,kew-2871184,TRUE,1.1,Synonym,Cupressaceae,Juniperus,,procumbens,,,(Siebold ex Endl.) Miq.,kew-2332773,Accepted,FALSE,FALSE,FALSE,2020-01-06
Juniperus mucronata var. mucronata,Juniperus,,mucronata,NA,var.,mucronata,,kew-2332668,TRUE,1.1,Accepted,Cupressaceae,Juniperus,,mucronata,,,R.P.Adams,kew-2332668,Accepted,FALSE,FALSE,TRUE,2020-01-06
Sabina saltuaria,Sabina,,saltuaria,NA,NA,,,kew-2871204,TRUE,1.1,Synonym,Cupressaceae,Juniperus,,saltuaria,,,Rehder & E.H.Wilson,kew-2331707,Accepted,FALSE,FALSE,FALSE,2020-01-06
Juniperus squamata var. morrisonicola,Juniperus,,squamata,NA,var.,morrisonicola,,kew-2871147,TRUE,1.1,Synonym,Cupressaceae,Juniperus,,morrisonicola,,,Hayata,kew-2332667,Accepted,FALSE,FALSE,FALSE,2020-01-06
Juniperus oxycedrus subsp. macrocarpa,Juniperus,,oxycedrus,NA,subsp.,macrocarpa,,kew-2871132,TRUE,1.1,Synonym,Cupressaceae,Juniperus,,macrocarpa,,,Sm.,kew-2332684,Accepted,FALSE,FALSE,FALSE,2020-01-06
Juniperus oxycedrus subsp. oxycedrus,Juniperus,,oxycedrus,NA,subsp.,oxycedrus,,kew-2332702,TRUE,1.1,Accepted,Cupressaceae,Juniperus,,oxycedrus,,,L.,kew-2332702,Accepted,FALSE,FALSE,TRUE,2020-01-06
Juniperus phoenicea subsp. turbinata,Juniperus,,phoenicea,NA,subsp.,turbinata,,kew-2871177,TRUE,1.1,Synonym,Cupressaceae,Juniperus,,phoenicea,var.,turbinata,(Guss.) Parl.,kew-2871176,Accepted,FALSE,FALSE,FALSE,2020-01-06
Juniperus communis var. hondoensis,Juniperus,,communis,NA,var.,hondoensis,,kew-2332579,FALSE,1.1,Accepted,Cupressaceae,Juniperus,,communis,,,L.,kew-2332579,Accepted,FALSE,FALSE,TRUE,2020-01-06
Juniperus communis subsp. communis,Juniperus,,communis,NA,subsp.,communis,,tro-9400052,TRUE,1.1,Synonym,Cupressaceae,Juniperus,,communis,,,L.,kew-2332579,Accepted,FALSE,FALSE,FALSE,2020-01-06
Juniperus chinensis var. tsukusiensis,Juniperus,,chinensis,NA,var.,tsukusiensis,,kew-2871025,TRUE,1.1,Synonym,Cupressaceae,Juniperus,,tsukusiensis,,,Masam.,kew-2329450,Accepted,FALSE,FALSE,FALSE,2020-01-06
Cryptomeria japonica var. sinensis,Cryptomeria,,japonica,NA,var.,sinensis,,kew-2746451,TRUE,1.1,Synonym,Cupressaceae,Cryptomeria,,japonica,,,(Thunb. ex L.f.) D.Don,kew-2746448,Accepted,FALSE,FALSE,FALSE,2020-01-06
Agathis philippinensis,Agathis,,philippinensis,NA,NA,,,tro-2300038,TRUE,1.1,Unresolved,Araucariaceae,Agathis,,philippinensis,,,Warb.,tro-2300038,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Araucaria brasiliensis,Araucaria,,brasiliensis,NA,NA,,,kew-14346,TRUE,1.1,Synonym,Araucariaceae,Araucaria,,angustifolia,,,(Bertol.) Kuntze,kew-14337,Accepted,FALSE,FALSE,FALSE,2020-01-06
Araucaria excelsa,Araucaria,,excelsa,NA,NA,,,kew-14358,TRUE,1.1,Synonym,Araucariaceae,Araucaria,,columnaris,,,(G.Forst.) Hook.,kew-14348,Accepted,FALSE,FALSE,FALSE,2020-01-06
Podocarpus falcatus,Podocarpus,,falcatus,NA,NA,,,kew-2567607,TRUE,1.1,Synonym,Podocarpaceae,Afrocarpus,,falcatus,,,(Thunb.) C.N.Page,kew-2624884,Accepted,FALSE,FALSE,FALSE,2020-01-06
Falcatifolium falciforme var. falciforme,Falcatifolium,,falciforme,NA,var.,falciforme,,kew-2807612,TRUE,1.1,Accepted,Podocarpaceae,Falcatifolium,,falciforme,,,(Parl.) de Laub.,kew-2807612,Accepted,FALSE,FALSE,TRUE,2020-01-06
Dacrydium x suprinii,Dacrydium,×,suprinii,NA,NA,,,kew-2604127,TRUE,1.1,Accepted,Podocarpaceae,Dacrydium,×,suprinii,,,Nimsch,kew-2604127,Accepted,FALSE,FALSE,FALSE,2020-01-06
Dacrycarpus imbricatus var. patulus,Dacrycarpus,,imbricatus,NA,var.,patulus,,kew-2755040,TRUE,1.1,Synonym,Podocarpaceae,Dacrycarpus,,imbricatus,,,(Blume) de Laub.,kew-2755038,Accepted,FALSE,FALSE,FALSE,2020-01-06
Sarcococca ruscifolia var. ruscifolia,Sarcococca,,ruscifolia,NA,var.,ruscifolia,,kew-2486376,TRUE,1.1,Unresolved,Buxaceae,Sarcococca,,ruscifolia,,,Stapf,kew-2486376,Unresolved,FALSE,FALSE,TRUE,2020-01-06
Pachysandra axillaris subsp. axillaris,Pachysandra,,axillaris,NA,subsp.,axillaris,,tro-50007370,TRUE,1.1,Synonym,Buxaceae,Pachysandra,,axillaris,,,Franch.,tro-4900003,Accepted,FALSE,FALSE,FALSE,2020-01-06
Buxus mollicula,Buxus,,mollicula,NA,NA,,,kew-2687957,TRUE,1.1,Accepted,Buxaceae,Buxus,,mollicula,,,W.W.Sm.,kew-2687957,Accepted,FALSE,FALSE,FALSE,2020-01-06
Buxus wrightii subsp. wrightii,Buxus,,wrightii,NA,subsp.,wrightii,,kew-2688040,TRUE,1.1,Accepted,Buxaceae,Buxus,,wrightii,,,Müll.Arg.,kew-2688040,Accepted,FALSE,FALSE,TRUE,2020-01-06
Buxus pilosula subsp. pilosula,Buxus,,pilosula,NA,subsp.,pilosula,,kew-2687977,TRUE,1.1,Accepted,Buxaceae,Buxus,,pilosula,,,Urb.,kew-2687977,Accepted,FALSE,FALSE,TRUE,2020-01-06
Buxus retusa subsp. retusa,Buxus,,retusa,NA,subsp.,retusa,,kew-2687986,TRUE,1.1,Accepted,Buxaceae,Buxus,,retusa,,,Müll.Arg.,kew-2687986,Accepted,FALSE,FALSE,TRUE,2020-01-06
Buxus ekmanii subsp. ekmanii,Buxus,,ekmanii,NA,subsp.,ekmanii,,kew-2687881,TRUE,1.1,Accepted,Buxaceae,Buxus,,ekmanii,,,Urb.,kew-2687881,Accepted,FALSE,FALSE,TRUE,2020-01-06
Buxus microphylla var. japonica,Buxus,,microphylla,NA,var.,japonica,,kew-2687942,TRUE,1.1,Synonym,Buxaceae,Buxus,,microphylla,,,Siebold & Zucc.,kew-2687938,Accepted,FALSE,FALSE,FALSE,2020-01-06
Buxus gonoclada subsp. gonoclada,Buxus,,gonoclada,NA,subsp.,gonoclada,,kew-2687888,TRUE,1.1,Accepted,Buxaceae,Buxus,,gonoclada,,,(C.Wright) Müll.Arg.,kew-2687888,Accepted,FALSE,FALSE,TRUE,2020-01-06
Buxus excisa subsp. excisa,Buxus,,excisa,NA,subsp.,excisa,,kew-2687883,TRUE,1.1,Accepted,Buxaceae,Buxus,,excisa,,,Urb.,kew-2687883,Accepted,FALSE,FALSE,TRUE,2020-01-06
Chloranthus erectus,Chloranthus,,erectus,NA,NA,,,kew-2719131,TRUE,1.1,Synonym,Chloranthaceae,Chloranthus,,elatior,,,Link,kew-2719130,Accepted,FALSE,FALSE,FALSE,2020-01-06
Meliosma lanceolata var. lanceolata,Meliosma,,lanceolata,NA,var.,lanceolata,,kew-2504859,TRUE,1.1,Unresolved,Sabiaceae,Meliosma,,lanceolata,,,Blume,kew-2504859,Unresolved,FALSE,FALSE,TRUE,2020-01-06
Meliosma myriantha var. discolor,Meliosma,,myriantha,NA,var.,discolor,,tro-28200160,TRUE,1.1,Accepted,Sabiaceae,Meliosma,,myriantha,var.,discolor,Dunn,tro-28200160,Accepted,FALSE,FALSE,FALSE,2020-01-06
Meliosma cuneifolia var. glabriuscula,Meliosma,,cuneifolia,NA,var.,glabriuscula,,tro-28200151,TRUE,1.1,Accepted,Sabiaceae,Meliosma,,cuneifolia,var.,glabriuscula,Cufod.,tro-28200151,Accepted,FALSE,FALSE,FALSE,2020-01-06
Sabia japonica var. sinensis,Sabia,,japonica,NA,var.,sinensis,,tro-28200221,FALSE,1.1,Accepted,Sabiaceae,Sabia,,japonica,,,Maxim.,tro-28200221,Accepted,FALSE,FALSE,TRUE,2020-01-06
Nelumbo nucifera subsp. nucifera,Nelumbo,,nucifera,NA,subsp.,nucifera,,kew-2384945,TRUE,1.1,Accepted,Nelumbonaceae,Nelumbo,,nucifera,,,Gaertn.,kew-2384945,Accepted,FALSE,FALSE,TRUE,2020-01-06
Platanus mexicana var. mexicana,Platanus,,mexicana,NA,var.,mexicana,,tro-50053480,TRUE,1.1,Synonym,Platanaceae,Platanus,,mexicana,,,Moric.,kew-2570401,Accepted,FALSE,FALSE,FALSE,2020-01-06
Platanus x hispanica,Platanus,×,hispanica,NA,NA,,,kew-2570290,TRUE,1.1,Unresolved,Platanaceae,Platanus,×,hispanica,,,Mill. ex Münchh.,kew-2570290,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Platanus racemosa var. racemosa,Platanus,,racemosa,NA,var.,racemosa,,kew-2570467,TRUE,1.1,Accepted,Platanaceae,Platanus,,racemosa,,,Nutt.,kew-2570467,Accepted,FALSE,FALSE,TRUE,2020-01-06
Platanus occidentalis var. occidentalis,Platanus,,occidentalis,NA,var.,occidentalis,,tro-25300009,TRUE,1.1,Synonym,Platanaceae,Platanus,,occidentalis,,,L.,kew-2570459,Accepted,FALSE,FALSE,FALSE,2020-01-06
Eucarpha deplanchei,Eucarpha,,deplanchei,NA,NA,,,,FALSE,1.1,,,Eucarpha,,deplanchei,NA,,,,,FALSE,FALSE,FALSE,2020-01-06
Vexatorella obtusata subsp. obtusata,Vexatorella,,obtusata,NA,subsp.,obtusata,,kew-2451615,TRUE,1.1,Unresolved,Proteaceae,Vexatorella,,obtusata,,,(Thunb.) Rourke,kew-2451615,Unresolved,FALSE,FALSE,TRUE,2020-01-06
Serruria barbigera,Serruria,,barbigera,NA,NA,,,tro-26500243,TRUE,1.1,Accepted,Proteaceae,Serruria,,barbigera,,,Knight,tro-26500243,Accepted,FALSE,FALSE,FALSE,2020-01-06
Serruria adscendens,Serruria,,adscendens,NA,NA,,,tro-26500226,TRUE,1.1,Accepted,Proteaceae,Serruria,,adscendens,,,R.Br.,tro-26500226,Accepted,FALSE,FALSE,FALSE,2020-01-06
Mimetes arboreus,Mimetes,,arboreus,NA,NA,,,tro-26500314,TRUE,1.1,Accepted,Proteaceae,Mimetes,,arboreus,,,Rourke,tro-26500314,Accepted,FALSE,FALSE,FALSE,2020-01-06
Leucospermum tottum var. tottum,Leucospermum,,tottum,NA,var.,tottum,,tro-26500016,TRUE,1.1,Accepted,Proteaceae,Leucospermum,,tottum,,,R. Br.,tro-26500016,Accepted,FALSE,FALSE,TRUE,2020-01-06
