TaxonID,Species
1005571,Wahlenbergia_albomarginata
1005572,Wahlenbergia_albomarginata_subsp._albomarginata
1005573,Wahlenbergia_albomarginata_subsp._flexilis
1005574,Wahlenbergia_albomarginata_subsp._laxa
1005575,Wahlenbergia_albomarginata_subsp._olivina
1005576,Wahlenbergia_androsacea
1005577,Wahlenbergia_annularis
1005578,Wahlenbergia_axillaris
1005579,Wahlenbergia_capillacea
100557,Ficus_maxima
1005580,Wahlenbergia_cartilaginea
1005581,Wahlenbergia_ceracea
1005582,Wahlenbergia_cernua
1005583,Wahlenbergia_cinerea
1005584,Wahlenbergia_communis
1005586,Wahlenbergia_congesta_subsp._haastii
1005587,Wahlenbergia_cuspidata
1005588,Wahlenbergia_densifolia
1005589,Wahlenbergia_depressa
100558,Ficus_microdictya
1005590,Wahlenbergia_desmantha
1005591,Wahlenbergia_ecklonii
1005592,Wahlenbergia_exilis
1005593,Wahlenbergia_fruticosa
1005594,Wahlenbergia_gracilis
1005595,Wahlenbergia_krebsii
1005596,Wahlenbergia_littoricola
1005597,Wahlenbergia_littoricola_subsp._vernicosa
1005598,Wahlenbergia_longifolia
1005599,Wahlenbergia_luteola
100559,Ficus_nodosa
1005600,Wahlenbergia_matthewsii
1005601,Wahlenbergia_neorigida
1005602,Wahlenbergia_oxyphylla
1005603,Wahlenbergia_paniculata
1005604,Wahlenbergia_parvifolia
1005605,Wahlenbergia_polyantha
1005606,Wahlenbergia_procumbens
1005607,Wahlenbergia_psammophila
1005609,Wahlenbergia_pygmaea_subsp._drucei
100560,Ficus_ochrochlora
1005610,Wahlenbergia_pygmaea_subsp._pygmaea
1005611,Wahlenbergia_pygmaea_subsp._tararua
1005612,Wahlenbergia_ramosa
1005613,Wahlenbergia_rupestris
1005614,Wahlenbergia_rupicola
1005616,Wahlenbergia_stricta
1005617,Wahlenbergia_subulata
1005618,Wahlenbergia_telfordii
1005619,Wahlenbergia_tenella
100561,Ficus_odoardi
1005620,Wahlenbergia_tenerrima
1005621,Wahlenbergia_thunbergiana
1005622,Wahlenbergia_undulata
1005623,Wahlenbergia_violacea
1005624,Wahlenbergia_virgata
100562,Ficus_padana
100563,Ficus_pellucidopunctata
100564,Ficus_pertusa
1005653,Adenocalymma_validum
1005655,Xylopia_aromatica
1005656,Xylopia_benthamii
1005658,Xylopia_emarginata
100565,Ficus_phaeosyce
100566,Ficus_prasinicarpa
1005679,Hedbergia_decurva
100567,Ficus_punctata
1005685,Bartsiella_rameauana
100568,Ficus_pungens
1005690,Odontites_glutinosus
1005691,Nothobartsia_asperrima
1005693,Odontitella_virgata
1005694,Odontites_corsicus
1005695,Odontites_cyprius
1005696,Odontites_pyrenaeus
1005697,Odontites_viscosus
100569,Ficus_racemosa
100570,Ficus_robusta
100571,Ficus_ruginerva
100572,Ficus_semivestita
100573,Ficus_septica
1005744,Senecio_calocephalus
1005745,Senecio_candidans
1005746,Senecio_trifurcatus
100574,Ficus_superba
100575,Ficus_sur
100577,Ficus_tinctoria
100578,Ficus_trachypison
100579,Ficus_variegata_Blume,_1825
100580,Ficus_virens
100581,Ficus_virgata
100582,Ficus_wassa
100583,Ficus_xylosycia
1006064,Haplophyllum_albanicum
1006065,Haplophyllum_alberti-regelii
1006066,Haplophyllum_armenum
1006068,Haplophyllum_boissierianum
1006069,Haplophyllum_bucharicum
1006070,Haplophyllum_cappadocicum
1006071,Haplophyllum_dasygynum
1006073,Haplophyllum_dshungaricum
1006074,Haplophyllum_dubium
1006075,Haplophyllum_griffithianum
1006076,Haplophyllum_laristanicum
1006077,Haplophyllum_myrtifolium
1006078,Haplophyllum_popovii
1006079,Haplophyllum_ramosissimum
1006080,Haplophyllum_rechingeri
1006081,Haplophyllum_telephioides
1006082,Haplophyllum_tenue
1006083,Haplophyllum_thesioides
1006084,Haplophyllum_viridulum
1006085,Triadica_cochinchinensis
1006089,Ampelocissus_elephantina
1006090,Cayratia_cordifolia
1006091,Cayratia_geniculata
1006092,Cayratia_imerinensis
1006093,Cayratia_triternata
1006094,Cissus_nodosa
1006095,Cissus_subtetragona
1006096,Cissus_wenshanensis
1006097,Cyphostemma_horombense
1006098,Leea_spinea
1006099,Tetrastigma_annamense
1006100,Tetrastigma_apiculatum
1006101,Tetrastigma_beauvaisii
1006102,Tetrastigma_bioritsense
1006103,Tetrastigma_brunneum
1006104,Tetrastigma_campylocarpum
1006105,Tetrastigma_caudatum
1006106,Tetrastigma_cauliflorum
1006107,Tetrastigma_ceratopetalum
1006109,Tetrastigma_cruciatum
1006110,Tetrastigma_curtisii
1006111,Tetrastigma_delavayi
1006112,Tetrastigma_eberhardtii
1006113,Tetrastigma_ellipticum
1006114,Tetrastigma_erubescens
1006116,Tetrastigma_funingense
1006117,Tetrastigma_garrettii
1006118,Tetrastigma_glabratum
1006119,Tetrastigma_godefroyanum
1006120,Tetrastigma_gaudichaudianum
1006121,Tetrastigma_hemsleyanum
1006122,Tetrastigma_henryi
1006125,Tetrastigma_heterophyllum
1006126,Tetrastigma_jinghongense
1006127,Tetrastigma_laevigatum
1006128,Tetrastigma_lanyuense
1006129,Tetrastigma_laxum
1006130,Tetrastigma_lenticellatum
1006131,Tetrastigma_loheri
1006132,Tetrastigma_napaulense
1006133,Tetrastigma_pachyphyllum
1006134,Tetrastigma_papillosum
1006135,Tetrastigma_pedunculare
1006136,Tetrastigma_pisicarpum
1006137,Tetrastigma_planicaule
1006138,Tetrastigma_pyriforme
1006139,Tetrastigma_retinervium
1006140,Tetrastigma_sichouense
1006144,Tetrastigma_strumarum
1006145,Tetrastigma_tonkinense
1006146,Tetrastigma_tuberculatum
100614,Peucedanum_litorale
100615,Ligusticum_scoticum_subsp._hultenii
1006179,Rosa_parviuscula
1006183,Ilex_kaushue
1006184,Ilex_pentagona
1006329,Centaurea_aeolica_subsp._aeolica
1006330,Centaurea_aeolica_subsp._pandataria
1006332,Centaurea_argentea_subsp._argentea
1006333,Centaurea_busambarensis
1006334,Centaurea_erycina
1006335,Centaurea_panormitana
1006336,Centaurea_panormitana_subsp._seguenzae
1006337,Centaurea_papposa
1006338,Centaurea_parlatoris
1006339,Centaurea_saccensis
1006340,Pilosella_petraea
1006341,Pilosella_rhodopea
1006342,Pilosella_serbica
1006343,Hieracium_krasanii
1006345,Arctium_palladinii
1006350,Cousinia_serawschanica
1006352,Rumex_dentatus
1006353,Lotus_ucrainicus
1006468,Vitis_lawsonii
1006578,Lachenalia_congesta
1006600,Acanthoprasium_frutescens
100679,Brocchinia_micrantha
100681,Cottendorfia_florida
100683,Deuterocohnia_longipetala
100684,Deuterocohnia_lotteae
100685,Deuterocohnia_meziana
100686,Dyckia_dawsonii
100687,Dyckia_ferox
100688,Encholirium_inerme
100689,Encholirium_irwinii
100691,Epidryos_allenii
100692,Fosterella_elata
100693,Fosterella_petiolata
100694,Hechtia_glabra
100695,Hechtia_glomerata
100696,Hechtia_guatemalensis
100697,Hechtia_lindmanioides
100698,Navia_igneosicola
100699,Navia_phelpsiae
100700,Pitcairnia_beachiae
100701,Pitcairnia_corallina
100703,Pitcairnia_heterophylla
100704,Pitcairnia_orchidifolia
100705,Pitcairnia_recurvata
100706,Pitcairnia_rubronigriflora
100707,Pitcairnia_smithiorum
100708,Pitcairnia_squarrosa
100709,Puya_humilis
100710,Puya_laxa
100711,Puya_werdermannii
1007327,Desplatsia_dewevrei
1007328,Microcos_hirsuta
1007330,Mollia_speciosa
1007332,Tetralix_brachypetalus
1007627,Stachys_alpina_subsp._macrophylla
1007628,Stachys_balansae
1007629,Stachys_balansae_subsp._balansae
1007630,Stachys_balansae_subsp._carduchorum
1007631,Stachys_bayburtensis
1007632,Stachys_cretica_subsp._anatolica
1007633,Stachys_cretica_subsp._bulgarica
1007634,Stachys_cretica_subsp._garana
1007635,Stachys_cretica_subsp._kutahyensis
1007636,Stachys_cretica_subsp._lesbiaca
1007637,Stachys_cretica_subsp._mersinaea
1007638,Stachys_cretica_subsp._smyrnaea
1007639,Stachys_cretica_subsp._vacillans
1007640,Stachys_germanica_subsp._bithynica
1007642,Stachys_huber-morathii
1007643,Stachys_huetii
1007644,Stachys_longispicata
1007645,Stachys_obliqua
1007646,Stachys_pinetorum
1007647,Stachys_rizeensis
1007648,Stachys_sericantha
1007649,Stachys_spectabilis
1007650,Stachys_thracica
1007651,Stachys_viticina
100768,Microseris_nutans
100769,Microseris_sylvatica
1007721,Gladiolus_abbreviatus
1007722,Gladiolus_acuminatus
1007723,Gladiolus_aequinoctialis
1007724,Gladiolus_alatus
1007725,Gladiolus_albens
1007726,Gladiolus_anatolicus
1007727,Gladiolus_angustus
1007728,Gladiolus_appendiculatus
1007729,Gladiolus_aquamontanus
1007730,Gladiolus_arcuatus
1007731,Gladiolus_atroviolaceus
