Clade,PL_point,PL_BSmin,PL_BSmax,UCLN_median,95%HPD_min,95%HPD_max
Casuarinaceae,83.5,83.5,83.5,84.77,83.55,87.48
Betulaceae,83.5,83.5,83.5,84.77,83.55,87.48
Juglandaceae,85.57,81.47,89.22,68.6,64.54,86.34
Myricaceae,85.57,81.47,89.22,68.6,64.54,86.34
Cucurbitales S,112.02,109.91,114.08,109.07,104.55,113.41
Cucurbitales C,90.77,84.39,94.35,64.6,49.83,97.07
Anisophylleaceae,90.77,84.39,94.35,64.6,49.83,97.07
Corynocarpaceae,76.19,68.6,83.14,46.24,26.19,78.93
Coriariaceae,76.19,68.6,83.14,46.24,26.19,78.93
Tetramelaceae,80.27,73.24,86.54,45.42,24.55,78.5
Datiscaceae,75.78,68.01,82.6,37.32,18.56,73.76
Begoniaceae,75.78,68.01,82.6,37.32,18.56,73.76
Cucurbitaceae,88.7,83.03,93.52,57.08,48.73,89.85
Celastrales S,113.44,111.77,115.1,112.02,106.78,116.24
Celastrales C,94.16,90.35,99.6,92.61,76.98,109.85
Lepidobotryaceae,94.16,90.35,99.6,92.61,76.98,109.85
Celastraceae,94.16,90.35,99.6,92.61,76.98,109.85
Oxalidales S,113.41,111.67,114.84,111.43,106.24,115.82
Oxalidales C,110.99,108.64,113.05,106.36,98.56,112.82
Huaceae,110.99,111.77,115.1,106.36,98.56,112.82
Connaraceae,64.34,60.52,71.11,57.39,39.95,75.37
Oxalidaceae,64.34,60.52,71.11,57.39,39.95,75.37
Brunelliaceae,84.8,82.01,91.18,84.5,80.6,90.66
Cephalotaceae,81.17,79.2,84.43,80.59,79.29,83.32
Cunoniaceae,81.17,79.2,84.43,80.59,79.29,83.32
Elaeocarpaceae,81.49,79.2,85.78,81.63,79.62,85.2
Malpighiales S,113.41,111.67,114.84,111.43,106.24,115.82
Malpighiales C,104.78,103.18,106.55,103.51,98.26,109.71
Humiriaceae,104.78,103.18,106.55,103.51,98.26,109.71
Ixonanthaceae,97.13,93.23,101.64,84.92,56.2,100.84
Irvingiaceae,97.13,93.23,101.64,84.92,56.2,100.84
Clusiaceae,89.3,89.3,89.3,90.72,89.42,93.62
Bonnetiaceae,87.06,84.06,88.85,85.09,76.56,90.87
Calophyllaceae,84.73,82.28,86.92,80.07,70.34,87.41
Podostemataceae,70.33,65.93,73.95,67.82,53.53,77.29
Hypericaceae,70.33,65.93,73.95,67.82,53.53,77.29
Achariaceae,99.42,97.16,101.98,94.36,84.79,102.94
Passifloraceae,98.04,95.26,100.49,89.2,79.08,98.75
Goupiaceae,94.71,90.44,98.95,83.07,67.87,95.42
Violaceae,94.71,90.44,98.95,83.07,67.87,95.42
Lacistemataceae,87.61,84.08,92.47,74.11,61.08,88.39
Salicaceae,87.61,84.08,92.47,74.11,61.08,88.39
Elatinaceae,89.89,86.57,94.6,73.88,58.61,93.6
Malpighiaceae,89.89,86.57,94.6,73.88,58.61,93.6
Phyllanthaceae,93.46,90.14,96.9,83.78,69.72,95.81
Picrodendraceae,93.46,90.14,96.9,83.78,69.72,95.81
Putranjivaceae,75.06,65.63,81.96,59.01,29.38,86.6
Lophopyxidaceae,75.06,65.63,81.96,59.01,29.38,86.6
Ctenolophonaceae,98.98,95.34,102.87,87.55,74.99,97.83
Erythroxylaceae,79.08,74.31,84.49,72.86,59.3,87.62
